catalog,bin,nside,counts_sum,mean_count_valid,valid_pixel_fraction,occupied_pixel_fraction_valid,delta_std_valid,counts_map,delta_map,mask_map
twompz,all,64,933447.0,18.99102783203125,1.0,0.9384969075520834,0.6117115816415767,data/LSS/maps/twompz_all_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/twompz_all_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/twompz_all_prod_nside64_local_nulls_20260425_mask.npy
twompz,z_0_0p1,64,630986.0,12.837443033854166,1.0,0.93719482421875,0.7270403981545074,data/LSS/maps/twompz_z_0_0p1_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/twompz_z_0_0p1_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/twompz_z_0_0p1_prod_nside64_local_nulls_20260425_mask.npy
twompz,z_0p1_0p2,64,279884.0,5.694254557291667,1.0,0.89349365234375,0.7512311987579574,data/LSS/maps/twompz_z_0p1_0p2_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/twompz_z_0p1_0p2_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/twompz_z_0p1_0p2_prod_nside64_local_nulls_20260425_mask.npy
twompz,z_0_0p2,64,910870.0,18.531697591145832,1.0,0.9384969075520834,0.6199611644525315,data/LSS/maps/twompz_z_0_0p2_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/twompz_z_0_0p2_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/twompz_z_0_0p2_prod_nside64_local_nulls_20260425_mask.npy
twompz,z_0p2_0p3,64,21975.0,0.44708251953125,1.0,0.323486328125,1.6994956933038337,data/LSS/maps/twompz_z_0p2_0p3_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/twompz_z_0p2_0p3_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/twompz_z_0p2_0p3_prod_nside64_local_nulls_20260425_mask.npy
wisexscos,all,64,13376121.0,400.30288792458475,0.6798299153645834,0.50537109375,0.6584743351467652,data/LSS/maps/wisexscos_all_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/wisexscos_all_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/wisexscos_all_prod_nside64_local_nulls_20260425_mask.npy
wisexscos,z_0_0p1,64,1677624.0,50.205715995810266,0.6798299153645834,0.5040079752604166,0.850850014648766,data/LSS/maps/wisexscos_z_0_0p1_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/wisexscos_z_0_0p1_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/wisexscos_z_0_0p1_prod_nside64_local_nulls_20260425_mask.npy
wisexscos,z_0p1_0p2,64,5246731.0,157.0172377674697,0.6798299153645834,0.5048421223958334,0.6894835083144253,data/LSS/maps/wisexscos_z_0p1_0p2_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/wisexscos_z_0p1_0p2_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/wisexscos_z_0p1_0p2_prod_nside64_local_nulls_20260425_mask.npy
wisexscos,z_0_0p2,64,6924355.0,207.22295376327997,0.6798299153645834,0.50506591796875,0.6951377954108728,data/LSS/maps/wisexscos_z_0_0p2_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/wisexscos_z_0_0p2_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/wisexscos_z_0_0p2_prod_nside64_local_nulls_20260425_mask.npy
wisexscos,z_0p2_0p3,64,5162505.0,154.4966332485411,0.6798299153645834,0.5045166015625,0.6805938865655282,data/LSS/maps/wisexscos_z_0p2_0p3_prod_nside64_local_nulls_20260425_counts.npy,data/LSS/maps/wisexscos_z_0p2_0p3_prod_nside64_local_nulls_20260425_delta.npy,data/LSS/maps/wisexscos_z_0p2_0p3_prod_nside64_local_nulls_20260425_mask.npy
