fmax_nHz,model,family,n_ppta,n_ng15,n_epta,ln_Z,ln_Z_err,delta_to_best,status,error
le_5_nHz,Cosmic-Superstrings,Cosmo-other,2,2,1,-19.84337042839322,0.15336338627424373,-0.6708612555042492,pass,
le_5_nHz,SIGW-Delta,SIGW-like,2,2,1,-20.08420639984743,0.159769357004332,-0.9116972269584593,pass,
le_5_nHz,PBH-SIGW-Analytic,SIGW-like,2,2,1,-19.172509172888972,0.15246402251929664,0.0,pass,
le_5_nHz,SIGW-Gaussian,SIGW-like,2,2,1,-19.624898120161028,0.16314340623687962,-0.4523889472720555,pass,
le_5_nHz,SMBHB-Eccentric,Astro-curved,2,2,1,-19.94129853692124,0.16922470744741336,-0.7687893640322692,pass,
le_5_nHz,SMBHB-BrokenPL,Astro-curved,2,2,1,-19.603143460902114,0.16261153007084522,-0.43063428801314174,pass,
le_8_nHz,Cosmic-Superstrings,Cosmo-other,4,4,2,-35.457870948760274,0.1682312312964245,-0.8158227628184846,pass,
le_8_nHz,SIGW-Delta,SIGW-like,4,4,2,-35.390337526726064,0.16934407728751216,-0.7482893407842752,pass,
le_8_nHz,PBH-SIGW-Analytic,SIGW-like,4,4,2,-34.64204818594179,0.1645700712384547,0.0,pass,
le_8_nHz,SIGW-Gaussian,SIGW-like,4,4,2,-35.101604388562706,0.171813293843864,-0.45955620262091657,pass,
le_8_nHz,SMBHB-Eccentric,Astro-curved,4,4,2,-35.74642593388942,0.18102217794365116,-1.1043777479476304,pass,
le_8_nHz,SMBHB-BrokenPL,Astro-curved,4,4,2,-35.68926331471952,0.181070395188921,-1.0472151287777294,pass,
le_12_nHz,Cosmic-Superstrings,Cosmo-other,6,6,3,-57.690534387468915,0.1685215553953821,-0.5853000948267635,pass,
le_12_nHz,SIGW-Delta,SIGW-like,6,6,3,-57.63507768557133,0.1691965434217187,-0.5298433929291804,pass,
le_12_nHz,PBH-SIGW-Analytic,SIGW-like,6,6,3,-57.10523429264215,0.16853298578174583,0.0,pass,
le_12_nHz,SIGW-Gaussian,SIGW-like,6,6,3,-57.60044546881698,0.17190205691843846,-0.495211176174827,pass,
le_12_nHz,SMBHB-Eccentric,Astro-curved,6,6,3,-58.21215507967578,0.18275255313488628,-1.10692078703363,pass,
le_12_nHz,SMBHB-BrokenPL,Astro-curved,6,6,3,-58.11873527651145,0.1824023306731382,-1.0135009838692994,pass,
le_20_nHz,Cosmic-Superstrings,Cosmo-other,11,10,6,-103.94429228642339,0.1745538783188704,-0.5496325300342733,pass,
le_20_nHz,SIGW-Delta,SIGW-like,11,10,6,-103.80883414744518,0.17250530686409635,-0.4141743910560649,pass,
le_20_nHz,PBH-SIGW-Analytic,SIGW-like,11,10,6,-103.39465975638912,0.16526666112247362,0.0,pass,
le_20_nHz,SIGW-Gaussian,SIGW-like,11,10,6,-103.87645436543268,0.1773944507466896,-0.4817946090435612,pass,
le_20_nHz,SMBHB-Eccentric,Astro-curved,11,10,6,-104.57969525403198,0.1910121224267605,-1.1850354976428576,pass,
le_20_nHz,SMBHB-BrokenPL,Astro-curved,11,10,6,-104.61013490580574,0.1900998968768862,-1.2154751494166192,pass,
all,Cosmic-Superstrings,Cosmo-other,14,14,14,-154.47817376547627,0.17465262361378645,0.0,pass,
all,SIGW-Delta,SIGW-like,14,14,14,-154.5150454006746,0.17352230933517696,-0.036871635198338026,pass,
all,PBH-SIGW-Analytic,SIGW-like,14,14,14,-154.59821098738078,0.18060346742575747,-0.12003722190451072,pass,
all,SIGW-Gaussian,SIGW-like,14,14,14,-154.95996638699322,0.18492890127288042,-0.481792621516945,pass,
all,SMBHB-Eccentric,Astro-curved,14,14,14,-155.21697490516536,0.1930753777419101,-0.7388011396890874,pass,
all,SMBHB-BrokenPL,Astro-curved,14,14,14,-155.18423896452262,0.19264037956230803,-0.7060651990463498,pass,
