model,dataset,n_projected_samples,gamma_eff_median,gamma_eff_p16,gamma_eff_p84,log10_A_eff_median,projection_loss_median
SMBHB-Eccentric,PPTA-DR3,512,3.728632758599419,3.4087975885809043,4.05876755029211,-14.444128385035576,0.024573687059047507
SMBHB-Eccentric,NANOGrav-15yr,512,3.806772864203162,3.506003878283525,4.100644863022324,-14.462692461903721,0.020603565923439756
SMBHB-Eccentric,EPTA-DR2new,512,4.022275382597469,3.773632796909024,4.221071680772798,-14.508909536270234,0.009237971286469436
SMBHB-BrokenPL,PPTA-DR3,512,3.7812914871179295,3.448752134111855,4.132134984918455,-14.469946146161766,0.023728009327621483
SMBHB-BrokenPL,NANOGrav-15yr,512,3.866473445833406,3.5344648424435885,4.17817716313579,-14.493285674175327,0.01742640655696335
SMBHB-BrokenPL,EPTA-DR2new,512,4.102822986963302,3.774847272952072,4.286891109746567,-14.540338391473904,0.00480441450256497
SMBHB-Env,PPTA-DR3,512,3.720254981776356,3.400415765561993,4.023251377104709,-14.450303715585989,0.031003413899040155
SMBHB-Env,NANOGrav-15yr,512,3.81389183343975,3.5015466579931944,4.097836667623834,-14.477608895969572,0.022041600772529597
SMBHB-Env,EPTA-DR2new,512,4.086826645899655,3.7592133056941597,4.283519508661359,-14.531236416131733,0.004392027139338066
