model,family,lnZ_NG15_local,err_NG15_local,lnZ_NG15_official,err_NG15_official,delta_cal,delta_cal_err,status,error
SMBHB-PowerLaw,Astro-simple,-17.831223074114426,0.12106052244523806,-109.63903141397363,0.12077944833722114,-91.8078083398592,0.1710067987986368,pass,
SMBHB-Turnover,Astro-simple,-18.0107387617697,0.12242261477450987,-109.80431543034895,0.12095033542359304,-91.79357666857925,0.17209381234462706,pass,
SMBHB-Env,Astro-curved,-18.353521170913922,0.12478684087534973,-110.19151831270125,0.12636470789113066,-91.83799714178733,0.1775944679770759,pass,
SMBHB-BrokenPL,Astro-curved,-18.085168128635356,0.12301593365148285,-109.88665018921947,0.12219806065408402,-91.8014820605841,0.1733934426665704,pass,
SMBHB-Eccentric,Astro-curved,-17.858284285112894,0.12072266295494273,-109.7017281055908,0.12158504597000445,-91.84344382047792,0.1713385092571451,pass,
PBH-SIGW-Analytic,SIGW-like,-16.45072220069279,0.10821850144544656,-108.2377602526596,0.10764895194981572,-91.7870380519668,0.1526418714212842,pass,
SIGW-Gaussian,SIGW-like,-17.090973682406254,0.11395748938554404,-108.90046327660329,0.11387331477142935,-91.80948959419703,0.16110071757782277,pass,
SIGW-Delta,SIGW-like,-17.775627741576244,0.10962974052415363,-109.5833162671332,0.10968983084611401,-91.80768852555696,0.15508236198369676,pass,
Cosmic-Superstrings,Cosmo-other,-18.227497112409253,0.11068438679351394,-110.02591717872392,0.11035904259507262,-91.79842006631466,0.15630147715986967,pass,
DomainWall,Cosmo-other,-19.542295367942202,0.13883487094472374,-111.23624239664984,0.1383923090696472,-91.69394702870764,0.19602946870271024,pass,
PhaseTransition-Total,Cosmo-other,-17.74905737316897,0.12273188200115916,-109.60458833268001,0.12426708776048108,-91.85553095951104,0.17465802002776043,pass,
