check,model,nlive,seed,ln_Z,ln_Z_err,status,error
seed_nlive,Cosmic-Superstrings,500,20260422,-154.37720554590848,0.10896083559524378,pass,
seed_nlive,Cosmic-Superstrings,500,20260423,-154.4119236492861,0.10898194338741878,pass,
seed_nlive,Cosmic-Superstrings,1000,20260422,-154.3478709494557,0.07895886177231642,pass,
seed_nlive,SIGW-Delta,500,20260422,-154.46910536386096,0.10940197072509808,pass,
seed_nlive,SIGW-Delta,500,20260423,-154.42773969145904,0.10888232090086097,pass,
seed_nlive,SIGW-Delta,1000,20260422,-154.60075870520592,0.08057163911440435,pass,
seed_nlive,PBH-SIGW-Analytic,500,20260422,-154.5500425014541,0.11355798349912578,pass,
seed_nlive,PBH-SIGW-Analytic,500,20260423,-154.52796515365327,0.11279616828640782,pass,
seed_nlive,PBH-SIGW-Analytic,1000,20260422,-154.5705955429059,0.08295126811962782,pass,
seed_nlive,SIGW-Gaussian,500,20260422,-154.8496318082255,0.1148219562758889,pass,
seed_nlive,SIGW-Gaussian,500,20260423,-154.86949856802775,0.11448806863335849,pass,
seed_nlive,SIGW-Gaussian,1000,20260422,-154.98180446096637,0.0840113374158895,pass,
