tier,label,rank,model,family,ln_Z,ln_Z_err,delta_to_best,n_dim,nlive,seed,status,error
ng15_official,NG15-off,5,SMBHB-PowerLaw,Astro-simple,-109.63903141397363,0.12077944833722114,-1.4012711613140283,2,500,20260422,pass,
ng15_official,NG15-off,7,SMBHB-Turnover,Astro-simple,-109.80431543034895,0.12095033542359304,-1.5665551776893523,4,500,20260422,pass,
ng15_official,NG15-off,10,SMBHB-Env,Astro-curved,-110.19151831270125,0.12636470789113066,-1.9537580600416504,3,500,20260422,pass,
ng15_official,NG15-off,8,SMBHB-BrokenPL,Astro-curved,-109.88665018921947,0.12219806065408402,-1.6488899365598684,4,500,20260422,pass,
ng15_official,NG15-off,6,SMBHB-Eccentric,Astro-curved,-109.7017281055908,0.12158504597000445,-1.463967852931205,3,500,20260422,pass,
ng15_official,NG15-off,1,PBH-SIGW-Analytic,SIGW-like,-108.2377602526596,0.10764895194981572,0.0,3,500,20260422,pass,
ng15_official,NG15-off,2,SIGW-Gaussian,SIGW-like,-108.90046327660329,0.11387331477142935,-0.662703023943692,3,500,20260422,pass,
ng15_official,NG15-off,3,SIGW-Delta,SIGW-like,-109.5833162671332,0.10968983084611401,-1.3455560144736012,2,500,20260422,pass,
ng15_official,NG15-off,9,Cosmic-Superstrings,Cosmo-other,-110.02591717872392,0.11035904259507262,-1.7881569260643175,2,500,20260422,pass,
ng15_official,NG15-off,11,DomainWall,Cosmo-other,-111.23624239664984,0.1383923090696472,-2.9984821439902447,3,500,20260422,pass,
ng15_official,NG15-off,4,PhaseTransition-Total,Cosmo-other,-109.60458833268001,0.12426708776048108,-1.3668280800204116,5,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,9,SMBHB-PowerLaw,Astro-simple,-132.66867169120744,0.12061628710716682,-1.1969310280192929,2,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,8,SMBHB-Turnover,Astro-simple,-132.5694798744534,0.12316619001583873,-1.0977392112652637,4,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,7,SMBHB-Env,Astro-curved,-132.52668856701038,0.12270857237986053,-1.0549479038222387,3,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,6,SMBHB-BrokenPL,Astro-curved,-132.3778182005769,0.11951831475318565,-0.906077537388768,4,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,5,SMBHB-Eccentric,Astro-curved,-132.2339407380203,0.12118352436233017,-0.7622000748321511,3,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,1,PBH-SIGW-Analytic,SIGW-like,-131.47174066318814,0.11017819213611094,0.0,3,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,4,SIGW-Gaussian,SIGW-like,-131.7549433563897,0.11267899457918787,-0.28320269320155944,3,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,2,SIGW-Delta,SIGW-like,-131.5605629706072,0.10882191486228338,-0.08882230741906483,2,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,3,Cosmic-Superstrings,Cosmo-other,-131.64484123099686,0.10967939788014207,-0.1731005678087172,2,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,11,DomainWall,Cosmo-other,-134.37038669679177,0.13720379364388285,-2.898646033603626,3,500,20260422,pass,
ng15off_ppta,NG15-off+PPTA-local,10,PhaseTransition-Total,Cosmo-other,-133.12311156893654,0.124259648172415,-1.6513709057483936,5,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,10,SMBHB-PowerLaw,Astro-simple,-133.639638388978,0.12270924035138481,-1.5606212131707196,2,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,9,SMBHB-Turnover,Astro-simple,-133.50725219880437,0.12395001269528806,-1.428235022997086,4,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,7,SMBHB-Env,Astro-curved,-133.44343468033753,0.12254871315691394,-1.3644175045302518,3,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,6,SMBHB-BrokenPL,Astro-curved,-133.41457613796848,0.12081127097420954,-1.3355589621612012,4,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,5,SMBHB-Eccentric,Astro-curved,-133.08315720335926,0.11938022065587753,-1.0041400275519834,3,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,1,PBH-SIGW-Analytic,SIGW-like,-132.07901717580728,0.10444029932388697,0.0,3,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,2,SIGW-Gaussian,SIGW-like,-132.63739291333005,0.11453288434546194,-0.5583757375227663,3,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,3,SIGW-Delta,SIGW-like,-132.8036354199521,0.10892571547618576,-0.724618244144807,2,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,4,Cosmic-Superstrings,Cosmo-other,-132.96554629394623,0.10999321326515266,-0.8865291181389523,2,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,11,DomainWall,Cosmo-other,-134.99973006100453,0.14050820681508225,-2.920712885197247,3,500,20260422,pass,
ng15off_epta,NG15-off+EPTA-local,8,PhaseTransition-Total,Cosmo-other,-133.49926483651114,0.12647926867363923,-1.4202476607038648,5,500,20260422,pass,
hybrid3,hybrid3,9,SMBHB-PowerLaw,Astro-simple,-155.94133213872232,0.12383905274829145,-1.5641265928138353,2,500,20260422,pass,
hybrid3,hybrid3,8,SMBHB-Turnover,Astro-simple,-155.42510892349202,0.12392116843581426,-1.0479033775835376,4,500,20260422,pass,
hybrid3,hybrid3,7,SMBHB-Env,Astro-curved,-155.31627098392624,0.12324114132838286,-0.9390654380177637,3,500,20260422,pass,
hybrid3,hybrid3,6,SMBHB-BrokenPL,Astro-curved,-155.2088795276207,0.1210964490831099,-0.8316739817122141,4,500,20260422,pass,
hybrid3,hybrid3,5,SMBHB-Eccentric,Astro-curved,-155.04008746027674,0.1212961541174328,-0.6628819143682563,3,500,20260422,pass,
hybrid3,hybrid3,3,PBH-SIGW-Analytic,SIGW-like,-154.5500425014541,0.11355798349912578,-0.17283695554561973,3,500,20260422,pass,
hybrid3,hybrid3,4,SIGW-Gaussian,SIGW-like,-154.8496318082255,0.1148219562758889,-0.4724262623170148,3,500,20260422,pass,
hybrid3,hybrid3,2,SIGW-Delta,SIGW-like,-154.46910536386096,0.10940197072509808,-0.09189981795248059,2,500,20260422,pass,
hybrid3,hybrid3,1,Cosmic-Superstrings,Cosmo-other,-154.37720554590848,0.10896083559524378,0.0,2,500,20260422,pass,
hybrid3,hybrid3,11,DomainWall,Cosmo-other,-157.170546081331,0.13720841257776425,-2.793340535422516,3,500,20260422,pass,
hybrid3,hybrid3,10,PhaseTransition-Total,Cosmo-other,-156.23001011285217,0.13055738685971513,-1.8528045669436892,5,500,20260422,pass,
